Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Return_%,Holding_Period
JBMA.NS,2019-10-11,2020-01-08,46.09440994262695,51.209449768066406,3703.288833618164,0.11096876675080708,89
SCI.NS,2019-12-06,2020-01-08,53.838706970214844,53.884761810302734,38.593955993652344,0.0008554224772405756,33
ADANIGREEN.NS,2019-10-11,2020-01-13,78.75,209.5500030517578,71024.40165710449,1.660952419704861,94
MOTHERSON.NS,2019-11-15,2020-01-15,34.37727737426758,35.579010009765625,2029.7264213562012,0.03495717890671528,61
JPPOWER.NS,2019-12-06,2020-01-22,1.5,1.9500000476837158,13252.50140428543,0.30000003178914386,47
GRSE.NS,2019-12-13,2020-01-23,176.25340270996094,177.42613220214844,272.0732421875,0.006653655896319461,41
BALRAMCHIN.NS,2019-12-13,2020-01-24,162.620361328125,168.5269012451172,3095.0269165039062,0.036321035501048655,42
TMPV.NS,2019-11-15,2020-01-27,164.20680236816406,177.50503540039062,3883.0840454101562,0.08098466592395435,73
GPIL.NS,2019-12-27,2020-01-27,52.38863754272461,55.16386413574219,2686.4193420410156,0.05297382644765847,31
TIINDIA.NS,2019-11-15,2020-01-29,441.4975280761719,478.6659240722656,6281.458923339844,0.08418709875467538,75
SARDAEN.NS,2020-01-03,2020-01-30,23.92898941040039,20.972272872924805,-7876.692855834961,-0.1235621148375991,27
ECLERX.NS,2020-01-10,2020-01-30,222.50328063964844,207.94419860839844,-4294.92919921875,-0.06543311176983914,20
PGEL.NS,2019-12-27,2020-02-03,5.610696315765381,6.410083293914795,6120.9060916900635,0.1424755383575534,38
INOXWIND.NS,2020-01-24,2020-02-03,10.350000381469727,9.524999618530273,-3846.1535568237305,-0.07971021570361536,10
ABREL.NS,2020-01-31,2020-02-03,627.4705200195312,547.6486206054688,-9897.91552734375,-0.12721219064057046,3
JINDALSAW.NS,2020-01-17,2020-02-07,44.217708587646484,40.0814323425293,-5774.241638183594,-0.0935434326479952,21
