date,current_universe_equity,pit_universe_equity
2025-08-11,8722472.151104927,4281913.949223518
2025-08-12,8654403.788126945,4247167.409953117
2025-08-13,8801672.034846306,4285922.1912641525
2025-08-14,8698663.858958244,4251104.801371574
2025-08-18,8780371.878733635,4265052.664774895
2025-08-19,8904592.019236565,4297629.427012444
2025-08-20,8904428.589243889,4324460.549448967
2025-08-21,8962105.902659416,4314592.373667717
2025-08-22,8942432.956065178,4329239.647257805
2025-08-25,8917209.119288445,4353584.484980583
2025-08-26,8841480.580927849,4309301.363337517
2025-08-28,8745671.303492546,4260818.41356945
2025-08-29,8811805.769755363,4301585.347208977
2025-09-01,9050963.258723259,4382097.104182243
2025-09-02,9108349.886057854,4383300.289469719
2025-09-03,9155846.699900627,4449994.1658735275
2025-09-04,9045345.899760246,4397159.900858879
2025-09-05,9089308.86405468,4438783.43928051
2025-09-08,9099722.58809948,4442628.472956657
2025-09-09,9142107.283976555,4439694.731699944
2025-09-10,9110501.419093132,4434197.18007946
2025-09-11,9027392.849783897,4439648.255961418
2025-09-12,9074030.705721855,4471698.898036003
2025-09-15,9253015.707678795,4516908.193720818
2025-09-16,9239889.323451042,4553684.134791374
2025-09-17,9263241.563879967,4557982.220072746
2025-09-18,9161643.315402031,4553715.647547722
2025-09-19,9166383.30192089,4530350.487467766
2025-09-22,9156316.27590084,4520120.074046135
2025-09-23,9161860.054839134,4520000.145998955
2025-09-24,9063659.711833,4472764.023192406
2025-09-25,9027010.122683525,4464373.725115776
2025-09-26,8956113.025279045,4377328.406352043
2025-09-29,9021104.076649666,4418570.000758171
2025-09-30,8975420.710313797,4500578.263712883
2025-10-01,9187301.780276299,4592435.751437187
2025-10-03,9324950.858363152,4618080.117316246
2025-10-06,9253766.703260422,4591372.423064232
2025-10-07,9293892.278941154,4574947.656516075
2025-10-08,9192106.475805283,4516103.750445366
2025-10-09,9245205.581077576,4572252.283499718
2025-10-10,9139278.992956161,4511355.110766411
2025-10-13,9091351.59937191,4499839.274401665
2025-10-14,9019757.10928154,4473082.606375694
2025-10-15,9089640.481631279,4487882.3086156845
2025-10-16,8984685.551854134,4441551.085806847
2025-10-17,8934185.466386795,4421781.024405479
2025-10-20,9041243.021793365,4436165.480124474
2025-10-21,9076561.345080376,4454949.375769615
2025-10-23,8933200.934370995,4378317.591803551
2025-10-24,8986941.32818222,4403052.45081234
2025-10-27,9092919.638853073,4471934.126318932
2025-10-28,9101253.64081192,4464185.095236778
2025-10-29,9063263.611356735,4460871.5156469345
2025-10-30,8999403.59963131,4454646.821051598
2025-10-31,8987670.502799034,4438274.988562584
2025-11-03,9015322.488944054,4447904.466406822
2025-11-04,8893930.38088131,4383196.80060482
2025-11-06,8674770.648840904,4283274.120230675
2025-11-07,8644823.097495079,4309332.3901433945
2025-11-10,8657963.944022179,4310389.320700645
2025-11-11,8571012.490363121,4265052.3158483505
2025-11-12,8535061.326041222,4288459.555624962
2025-11-13,8491957.318167686,4289671.616171837
2025-11-14,8529742.856986046,4295970.46883297
2025-11-17,8590609.813773155,4315218.661032677
2025-11-18,8540920.739951134,4284333.495627403
2025-11-19,8501215.411566734,4268491.461844444
2025-11-20,8510709.525732994,4279451.339774132
2025-11-21,8416056.173483849,4233497.01985836
2025-11-24,8423859.069678307,4182319.5840978622
2025-11-25,8410827.966284752,4172960.5901403427
2025-11-26,8402902.931326866,4185110.0132665634
2025-11-27,8346916.990042686,4148400.9148168564
2025-11-28,8353398.033926964,4141486.1352758408
2025-12-01,8288675.764334679,4142908.5981054306
2025-12-02,8256787.2728796005,4150463.0985326767
2025-12-03,8193822.098196983,4127799.1391210556
2025-12-04,8067327.911673546,4078285.9958105087
2025-12-05,8084957.918875694,4067011.653769493
2025-12-08,7927876.302237511,4001683.333914757
2025-12-09,7958845.395987511,3963591.7745275497
2025-12-10,7890798.117850304,3938898.538687706
2025-12-11,7919715.205801964,3961967.168753624
2025-12-12,8020624.15758419,3997749.1632909775
2025-12-15,8090983.030936241,4041813.4909124374
2025-12-16,8034267.809958458,4028567.823615074
2025-12-17,8013616.153159142,4001220.1079473495
2025-12-18,8079614.927512169,4032109.4951086044
2025-12-19,8184846.812033653,4100421.8586645126
2025-12-22,8332250.03385067,4158095.566046715
2025-12-23,8350856.877661705,4162234.6815862656
2025-12-24,8442325.170966148,4164266.5712652206
2025-12-26,8491785.604376793,4180474.318549156
2025-12-29,8417852.914542198,4161769.0572423935
2025-12-30,8642282.162863731,4268838.9188604355
2025-12-31,8657506.026434898,4274112.293540001
2026-01-01,8704142.650336266,4313941.248785973
2026-01-02,8734489.763998985,4345183.577231407
2026-01-05,8817298.865912437,4378208.564017296
2026-01-06,8848211.705801964,4380112.043707848
2026-01-07,8771000.80930233,4348257.280020714
2026-01-08,8616297.734930992,4262710.574179649
2026-01-09,8514328.234168053,4243426.577933311
2026-01-12,8635522.268195152,4259951.739600182
2026-01-13,8641428.567923546,4249496.431799889
2026-01-14,8773091.754797935,4318699.875281334
2026-01-16,8758508.619116783,4308225.577078819
2026-01-19,8757722.72701168,4335849.027091026
2026-01-20,8535846.799551964,4239689.172171593
2026-01-21,8551424.940497398,4261950.656653404
2026-01-22,8599780.349234581,4296027.142004967
2026-01-23,8507784.655142784,4272264.115042686
2026-01-27,8642763.023276329,4340956.584692955
2026-01-28,8913474.005164146,4497133.466803551
2026-01-29,9258999.69942379,4650520.701712608
2026-01-30,8847898.41225338,4488856.309729576
2026-02-02,8394620.801672935,4287907.343253136
2026-02-03,8615647.545477867,4388758.170554161
